            main_id            |plx_value|     rvz_redshift     |teff 
"2QZ J115305.7+005646"         |6.0478   |-0.00345              |97674
"2QZ J115305.7+005646"         |6.0478   |-0.00345              |98438
"2QZ J115816.5-012310"         |1.0935   |-1.0E-5               |38296
"2QZ J115816.5-012310"         |1.0935   |-1.0E-5               |38650
"2QZ J115816.5-012310"         |1.0935   |-1.0E-5               |38710
"2QZ J115835.7-013732"         |1.6207   |-3.8E-4               |18367
"2QZ J115835.7-013732"         |1.6207   |-3.8E-4               |18905
"2QZ J115835.7-013732"         |1.6207   |-3.8E-4               |20566
"2QZ J120226.6+001743"         |2.5045   |-3.8E-4               |12819
"2QZ J120226.6+001743"         |2.5045   |-3.8E-4               |13000
"2QZ J120226.6+001743"         |2.5045   |-3.8E-4               |13111
"2QZ J120226.6+001743"         |2.5045   |-3.8E-4               |13267
"2QZ J120540.4-012650"         |2.9449   |-5.0E-5               |11433
"2QZ J120540.4-012650"         |2.9449   |-5.0E-5               |16535
"2QZ J120540.4-012650"         |2.9449   |-5.0E-5               |17079
"2QZ J120540.4-012650"         |2.9449   |-5.0E-5               |17304
"2QZ J121219.0-011537"         |2.7919   |-2.3E-4               |14793
"2QZ J121219.0-011537"         |2.7919   |-2.3E-4               |15730
"2QZ J121637.1-014315"         |2.2072   |-5.9E-4               |11888
"2QZ J121637.1-014315"         |2.2072   |-5.9E-4               |15599
"2QZ J121637.1-014315"         |2.2072   |-5.9E-4               |15804
"2QZ J121754.5-024325"         |3.3298   |-9.0E-5               |17898
"2QZ J121754.5-024325"         |3.3298   |-9.0E-5               |17936
"2QZ J121754.5-024325"         |3.3298   |-9.0E-5               |17979
"2QZ J122605.8-014621"         |1.5603   |-1.5933087511244004E-4|12207
"2QZ J122605.8-014621"         |1.5603   |-1.5933087511244004E-4|12807
"2QZ J123501.8-014807"         |1.3678   |-1.1E-4               |25455
"2QZ J123501.8-014807"         |1.3678   |-1.1E-4               |25754
"2QZ J123501.8-014807"         |1.3678   |-1.1E-4               |25891
"2QZ J123642.1+005447"         |2.0214   |-0.00144              |27425
"2QZ J123706.2-001602"         |5.5825   |-1.6E-4               |14763
"2QZ J123706.2-001602"         |5.5825   |-1.6E-4               |15040
"2QZ J123706.2-001602"         |5.5825   |-1.6E-4               |15512
"2QZ J124851.3-022925"         |4.5812   |-0.00147              |16492
"2QZ J124851.3-022925"         |4.5812   |-0.00147              |19835
"2QZ J125619.0+015206"         |3.5091   |-4.0E-5               |12110
"2QZ J125619.0+015206"         |3.5091   |-4.0E-5               |12311
"2QZ J125619.0+015206"         |3.5091   |-4.0E-5               |12506
"2QZ J125619.0+015206"         |3.5091   |-4.0E-5               |12644
"2QZ J125924.8+013611"         |1.5546   |-1.1E-4               |18120
"2QZ J125924.8+013611"         |1.5546   |-1.1E-4               |19229
"2QZ J125924.8+013611"         |1.5546   |-1.1E-4               |19490
"2QZ J130533.1-003305"         |1.4881   |-1.1E-4               |20804
